"","x"
"1948","ET"
"1949","GB"
"1950","BE"
"1951","ET"
"1952","ET"
"1953","BW"
"1954","GB"
"1955","GB"
"1956","BE"
"1957","DK"
"1958","AT"
"1959","BE"
"1960","BE"
"1961","BE"
"1962","BE"
"1963",NA
"1964",NA
"1965",NA
"1966",NA
"1967","SG"
"1968","GB"
"1969","GB"
"1970","CL"
"1971","CL"
"1972","AR"
"1973","CL"
"1974","CL"
"1975","MX"
"1976","MX"
"1977","MX"
"1978","MX"
"1979","PT"
"1980","DE"
"1981","PT"
"1982","DE"
"1983","PT"
"1984","NO"
"1985","CA"
"1986","GB"
"1987","GB"
"1988","GB"
"1989","GB"
"1990","US"
"1991","US"
"1992","MY"
"1993","MY"
"1994","MY"
"1995","MY"
"1996","MY"
"1997","MY"
"1998","MY"
"1999","CA"
"2000",NA
"2001",NA
"2002","CH"
"2003","CA"
"2004","CA"
"2005","CA"
"2006","CA"
"2007","CA"
"2008","NO"
"2009","CA"
"2010","RU"
"2011","NO"
"2012","NO"
"2013","CA"
"2014","CA"
"2015",NA
"2016","CA"
"2017","BO"
"2018","CH"
"2019","CA"
"2020","CA"
"2021",NA
"2022",NA
"2023","IT"
"2024","AR"
"2025","AR"
"2026","BR"
"2027","BR"
"2028","US"
"2029","US"
"2030","US"
"2031","GE"
"2032","GE"
"2033","MX"
"2034","MX"
"2035","MX"
"2036","MX"
"2037","MX"
"2038","US"
"2039","MX"
"2040","GH"
"2041","GH"
"2042","US"
"2043","US"
"2044","US"
"2045",NA
"2046","CA"
"2047",NA
"2048","CA"
"2049","FI"
"2050","FI"
"2051","IN"
"2052","IN"
"2053","LK"
"2054","LK"
"2055","LK"
"2056","LK"
"2057","BD"
"2058",NA
"2059",NA
"2060","AU"
"2061","AU"
"2062","AU"
"2063","AU"
"2064","AU"
"2065",NA
"2066","AU"
"2067","AU"
"2068","AU"
"2069","AU"
"2070","JP"
"2071","JP"
"2072","CA"
"2073","AU"
"2074","US"
"2075","US"
"2076","US"
"2077","US"
"2078","US"
"2079","US"
"2080","US"
"2081","US"
"2082","US"
"2083","US"
"2084","US"
"2085","DE"
"2086","CH"
"2087","CH"
"2088","DE"
"2089","CH"
"2090",NA
"2091",NA
"2092",NA
"2093",NA
"2094",NA
"2095",NA
"2096",NA
"2097",NA
"2098",NA
"2099","CA"
"2100","CA"
"2101","US"
"2102","CA"
"2103","GB"
"2104","GH"
"2105","GB"
"2106",NA
"2107","GH"
"2108","GB"
"2109","GB"
"2110","AU"
"2111","DE"
"2112","US"
"2113","DE"
"2114","US"
"2115","DE"
"2116","AU"
"2117","CA"
"2118","AU"
"2119","GB"
"2120",NA
"2121","DE"
"2122","DE"
"2123","DE"
"2124",NA
"2125",NA
"2126",NA
"2127","ID"
"2128","GB"
"2129","US"
"2130","US"
"2131","US"
"2132","US"
"2133","AU"
"2134","ES"
"2135","DE"
"2136","ES"
"2137","US"
"2138","US"
"2139","US"
"2140","US"
"2141","AU"
"2142","US"
"2143","VE"
"2144","US"
"2145","US"
"2146","US"
"2147","GB"
"2148","US"
"2149","BR"
"2150","US"
"2151","US"
"2152","BE"
"2153","BE"
"2154","ET"
"2155","CH"
"2156","NL"
"2157","US"
"2158","CH"
"2159","CH"
"2160","CH"
"2161","BE"
"2162",NA
"2163","BE"
"2164","IT"
"2165","BE"
"2166","AR"
"2167","AR"
"2168","AR"
"2169","AR"
"2170","AR"
"2171","BR"
"2172","AR"
"2173","AR"
"2174","SR"
"2175","GB"
"2176","GB"
"2177","US"
"2178","CO"
"2179","GB"
"2180",NA
"2181","ES"
"2182","NL"
"2183","ES"
"2184","ZA"
"2185","ZA"
"2186","ZA"
"2187","BR"
"2188","BR"
"2189",NA
"2190","BR"
"2191","CA"
"2192","CA"
"2193",NA
"2194",NA
"2195",NA
"2196",NA
"2197",NA
"2198",NA
"2199",NA
"2200",NA
"2201",NA
"2202",NA
"2203",NA
"2204",NA
"2205","GB"
"2206","ES"
"2207","GB"
"2208","GB"
"2209","AR"
"2210","AR"
"2211","ES"
"2212","ES"
"2213","US"
"2214","US"
"2215","US"
"2216","GB"
"2217","GB"
"2218","IT"
"2219","ET"
"2220","DE"
"2221","DE"
"2222","GB"
"2223","IT"
"2224","ET"
"2225","ET"
"2226","TZ"
"2227","TZ"
"2228","FR"
"2229","AU"
"2230","BW"
"2231","ZA"
"2232","BW"
"2233","BW"
"2234","BR"
"2235","BR"
"2236","NL"
"2237","BR"
"2238","BR"
"2239","NL"
"2240",NA
"2241",NA
"2242",NA
"2243","IT"
"2244","IT"
"2245","MX"
"2246","CO"
"2247","US"
"2248","MX"
"2249","US"
"2250","US"
"2251","FR"
"2252",NA
"2253",NA
"2254",NA
"2255",NA
"2256",NA
"2257",NA
"2258",NA
"2259",NA
"2260",NA
"2261",NA
"2262","AU"
"2263","BW"
"2264","DE"
"2265","DE"
"2266","FR"
"2267","DE"
"2268","ZA"
"2269","ZA"
"2270","ZA"
"2271","DE"
"2272","BR"
"2273","BR"
"2274","US"
"2275","US"
"2276",NA
"2277","DE"
"2278",NA
"2279","CL"
"2280","DE"
"2281","DE"
"2282","NG"
"2283","GB"
"2284","NG"
"2285",NA
"2286","GB"
"2287","US"
"2288","ZA"
"2289","ZA"
"2290","US"
"2291","NL"
"2292","NL"
"2293","NL"
"2294","TR"
"2295","CR"
"2296","GB"
"2297","ES"
"2298","FR"
"2299","US"
"2300","FR"
"2301","MX"
"2302","ES"
"2303","US"
"2304","CA"
"2305","FR"
"2306","NL"
"2307","BR"
"2308","FR"
"2309","BR"
"2310","US"
"2311","TR"
"2312","GB"
"2313","AR"
"2314","CO"
"2315","FR"
"2316","FR"
"2317","ES"
"2318","GB"
"2319","BR"
"2320","BE"
"2321","NO"
"2322","GB"
"2323","KE"
"2324","GB"
"2325","GB"
"2326","SE"
"2327","DK"
"2328","DK"
"2329","US"
"2330","CA"
"2331","US"
"2332","GB"
"2333","GB"
"2334","CA"
"2335","US"
"2336","GB"
"2337","GB"
"2338","DK"
"2339","US"
"2340","SE"
"2341","US"
"2342","GB"
"2343","US"
"2344","US"
"2345","NL"
"2346","NL"
"2347","GB"
"2348","AU"
"2349","US"
"2350","AU"
"2351","US"
"2352","AU"
"2353","US"
"2354","AU"
"2355","GB"
"2356","DK"
"2357","US"
"2358","GB"
"2359","GB"
"2360","GB"
"2361","DK"
"2362","BR"
"2363","ZA"
"2364","GB"
"2365","DK"
"2366","BR"
"2367","GB"
"2368","IT"
"2369","DE"
"2370","DK"
"2371","DK"
"2372","ES"
"2373","ES"
"2374","ES"
"2375","ES"
"2376","ES"
"2377","ES"
"2378","US"
"2379","IT"
"2380","IT"
"2381","DK"
"2382","ES"
"2383","GB"
"2384","GB"
"2385","GB"
"2386","GB"
"2387","ES"
"2388","DK"
"2389",NA
"2390","IT"
"2391","IT"
"2392","IT"
"2393","US"
"2394","DE"
"2395","NO"
"2396","NO"
"2397","NO"
"2398","AU"
"2399","CA"
"2400","NO"
"2401","DK"
"2402","NO"
"2403","DK"
"2404","NO"
"2405","US"
"2406","US"
"2407","US"
"2408","US"
"2409","PT"
"2410","US"
"2411","IT"
"2412","IT"
"2413",NA
"2414","IT"
"2415","AU"
"2416","AU"
"2417","AU"
"2418","IT"
"2419","IT"
"2420","AU"
"2421","AU"
"2422","VU"
"2423","VU"
"2424","AU"
"2425",NA
"2426",NA
"2427",NA
"2428",NA
"2429",NA
"2430",NA
"2431",NA
"2432",NA
"2433",NA
"2434",NA
"2435",NA
"2436",NA
"2437",NA
"2438",NA
"2439",NA
"2440",NA
"2441",NA
"2442",NA
"2443",NA
"2444",NA
"2445",NA
"2446",NA
"2447",NA
"2448",NA
"2449",NA
"2450",NA
"2451",NA
"2452",NA
"2453",NA
"2454",NA
"2455","DE"
"2456",NA
"2457",NA
"2458",NA
"2459",NA
"2460","US"
"2461","US"
"2462",NA
"2463",NA
"2464","US"
"2465","IT"
"2466","CA"
"2467","IT"
"2468","US"
"2469","BD"
"2470","BD"
"2471","BD"
"2472","BD"
"2473","BD"
"2474",NA
"2475","FR"
"2476","FR"
"2477","DK"
"2478",NA
"2479","ID"
"2480",NA
"2481",NA
"2482","VN"
"2483",NA
"2484","US"
"2485","BR"
"2486","US"
"2487","BR"
"2488","US"
"2489",NA
"2490","US"
"2491","BR"
"2492","BR"
"2493","GB"
"2494","US"
"2495","ZA"
"2496","ZA"
"2497","ZA"
"2498","AU"
"2499",NA
"2500",NA
"2501",NA
"2502",NA
"2503",NA
"2504",NA
"2505",NA
"2506","IL"
"2507","IL"
"2508","IL"
"2509","IL"
"2510","IL"
"2511","IL"
"2512","IL"
"2513",NA
"2514",NA
"2515","US"
"2516",NA
"2517","BG"
"2518","BG"
"2519","BG"
"2520","BG"
"2521","DE"
"2522","BG"
"2523",NA
"2524",NA
"2525",NA
"2526",NA
"2527",NA
"2528",NA
"2529",NA
"2530",NA
"2531",NA
"2532",NA
"2533",NA
"2534",NA
"2535",NA
"2536",NA
"2537",NA
"2538",NA
"2539","CN"
"2540","CN"
"2541","CN"
"2542","US"
"2543","PT"
"2544","BR"
"2545","PT"
"2546","IN"
"2547","IN"
"2548","US"
"2549","US"
"2550","US"
"2551","CH"
"2552","FR"
"2553","FR"
"2554","GB"
"2555","US"
"2556","FR"
"2557","US"
"2558","CH"
"2559","FI"
"2560","US"
"2561","US"
"2562","NZ"
"2563","US"
"2564","US"
"2565","US"
"2566","US"
"2567","US"
"2568","US"
"2569","US"
"2570","US"
"2571","US"
"2572","US"
"2573","US"
"2574","IN"
"2575","US"
"2576","US"
"2577","GB"
"2578","US"
"2579","AU"
"2580","AU"
"2581","ES"
"2582","ES"
"2583","ES"
"2584","ES"
"2585","ES"
"2586","CN"
"2587","CN"
"2588","CN"
"2589","CN"
"2590","CN"
"2591","NL"
"2592","AU"
"2593","GB"
"2594","BE"
"2595","DE"
"2596","ES"
"2597","DE"
"2598","MY"
"2599","DE"
"2600","US"
"2601","GB"
"2602","CH"
"2603","IL"
"2604","SG"
"2605","SG"
"2606","SG"
"2607","SG"
"2608","SG"
"2609","GB"
"2610","US"
"2611","GB"
"2612","CN"
"2613","SG"
"2614","KR"
"2615","KR"
"2616","US"
"2617","US"
"2618","US"
"2619","CN"
"2620",NA
"2621","NZ"
"2622","NZ"
"2623","NZ"
"2624","NZ"
"2625","NZ"
"2626","NZ"
"2627","US"
"2628","NZ"
"2629","NZ"
"2630","NZ"
"2631","DE"
"2632","JP"
"2633","VU"
"2634","ID"
"2635","JP"
"2636","GB"
"2637","GB"
"2638",NA
"2639","DE"
"2640","FR"
"2641","DE"
"2642","HU"
"2643","GB"
"2644","DE"
"2645","FI"
"2646","ES"
"2647","AT"
"2648","PT"
"2649","DE"
"2650","DE"
"2651","DE"
"2652","ID"
"2653","DE"
"2654","AU"
"2655",NA
"2656","AU"
"2657","BE"
"2658","BE"
"2659","US"
"2660","SG"
"2661","SG"
"2662","SG"
"2663","US"
"2664","ES"
"2665","IT"
"2666","US"
"2667",NA
"2668",NA
"2669",NA
"2670",NA
"2671",NA
"2672",NA
"2673","TH"
"2674","AU"
"2675","TH"
"2676",NA
"2677",NA
"2678",NA
"2679",NA
"2680",NA
"2681",NA
"2682",NA
"2683","AT"
"2684","AT"
"2685","DE"
"2686","CN"
"2687","CN"
"2688","CN"
"2689","CN"
"2690","AU"
"2691","AU"
"2692","CA"
"2693","CA"
"2694","MY"
"2695","MY"
"2696","MY"
"2697","MY"
"2698","AU"
"2699","AU"
"2700","AU"
"2701","AU"
"2702","CA"
"2703",NA
"2704","CA"
"2705","NO"
"2706","US"
"2707","MY"
"2708","CN"
"2709","IN"
"2710","KR"
"2711","CL"
"2712","CA"
"2713","PK"
"2714","PK"
"2715","PK"
"2716",NA
"2717","US"
"2718","US"
"2719","US"
"2720","FJ"
"2721","US"
"2722",NA
"2723",NA
"2724",NA
"2725",NA
"2726",NA
"2727","DE"
"2728",NA
"2729",NA
"2730",NA
"2731",NA
"2732","FR"
"2733",NA
"2734","FR"
"2735",NA
"2736",NA
"2737",NA
"2738",NA
"2739",NA
"2740",NA
"2741",NA
"2742",NA
"2743",NA
"2744",NA
"2745",NA
"2746",NA
"2747",NA
"2748",NA
"2749",NA
"2750",NA
"2751",NA
"2752",NA
"2753",NA
"2754",NA
"2755",NA
"2756",NA
"2757",NA
"2758",NA
"2759",NA
"2760",NA
"2761",NA
"2762",NA
"2763",NA
"2764",NA
"2765",NA
"2766",NA
"2767",NA
"2768",NA
"2769",NA
"2770",NA
"2771",NA
"2772",NA
"2773",NA
"2774",NA
"2775",NA
"2776",NA
"2777",NA
"2778",NA
"2779",NA
"2780",NA
"2781",NA
"2782",NA
"2783",NA
"2784",NA
"2785",NA
"2786",NA
"2787",NA
"2788",NA
"2789",NA
"2790",NA
"2791",NA
"2792",NA
"2793",NA
"2794",NA
"2795",NA
"2796",NA
"2797",NA
"2798",NA
"2799",NA
"2800",NA
"2801",NA
"2802",NA
"2803",NA
"2804",NA
"2805",NA
"2806",NA
"2807",NA
"2808",NA
"2809",NA
"2810",NA
"2811",NA
"2812",NA
"2813",NA
"2814",NA
"2815",NA
"2816",NA
"2817",NA
"2818",NA
"2819",NA
"2820",NA
"2821",NA
"2822",NA
"2823",NA
"2824",NA
"2825",NA
"2826",NA
"2827",NA
"2828",NA
"2829",NA
"2830",NA
"2831",NA
"2832",NA
"2833",NA
"2834",NA
"2835",NA
"2836",NA
"2837","CN"
"2838","CN"
"2839","CN"
"2840","CN"
"2841","CN"
"2842","LU"
"2843","IT"
"2844",NA
"2845",NA
"2846","IT"
"2847","CN"
"2848","CN"
"2849","US"
"2850","CN"
"2851","CN"
"2852","DK"
"2853","US"
"2854","US"
"2855","DE"
"2856","DE"
"2857","DE"
"2858","US"
"2859","DK"
"2860","CN"
"2861","CN"
"2862","CN"
"2863","CN"
"2864",NA
"2865",NA
"2866","FR"
"2867","NO"
"2868","US"
"2869","US"
"2870","US"
"2871","DE"
"2872","DE"
"2873","DE"
"2874","EE"
"2875","IL"
"2876","NZ"
"2877","US"
"2878","PT"
"2879","GB"
"2880","US"
"2881","NZ"
"2882","NO"
"2883","IT"
"2884","CA"
"2885","LT"
"2886","IT"
"2887","LT"
"2888","US"
"2889","BR"
"2890","BR"
"2891","BR"
"2892","TH"
"2893","US"
"2894","US"
"2895","US"
"2896","MX"
"2897","US"
"2898","US"
"2899","US"
"2900",NA
"2901","AU"
"2902","DE"
"2903","NZ"
"2904","FR"
"2905","FR"
"2906","TH"
"2907","TH"
"2908","FR"
"2909","FR"
"2910","FR"
"2911","TH"
"2912","FR"
"2913","FR"
"2914",NA
"2915","NZ"
"2916","NZ"
"2917","NZ"
"2918","NZ"
"2919","NZ"
"2920","NZ"
"2921","US"
"2922","US"
"2923",NA
"2924","NP"
"2925","NP"
"2926","NP"
"2927","NP"
"2928","NP"
"2929","NP"
"2930",NA
"2931",NA
"2932",NA
"2933",NA
"2934",NA
"2935",NA
"2936","BW"
"2937","IN"
"2938","IN"
"2939","AU"
"2940",NA
"2941","CN"
"2942","CN"
"2943","IN"
"2944","IN"
"2945","IN"
"2946","IN"
"2947","IN"
"2948","JP"
"2949",NA
"2950",NA
"2951",NA
"2952",NA
"2953","FJ"
"2954","AU"
"2955","AU"
"2956",NA
"2957","AU"
"2958",NA
"2959","AU"
"2960","AU"
"2961",NA
"2962","FI"
"2963","AU"
"2964","GB"
"2965","AU"
"2966","AU"
"2967","FJ"
"2968","FJ"
"2969","PF"
"2970","PF"
"2971","PF"
"2972","PF"
"2973","FR"
"2974","PF"
"2975","PF"
"2976",NA
"2977","US"
"2978","US"
"2979","AU"
"2980","SG"
"2981","SG"
"2982","US"
"2983","US"
"2984","US"
"2985",NA
"2986",NA
"2987","US"
"2988","SY"
"2989","SY"
"2990","JO"
"2991",NA
"2992","US"
"2993","SY"
"2994","GB"
"2995","GB"
"2996","AU"
"2997","VU"
"2998","VU"
"2999","AU"
"3000","US"
"3001","AU"
"3002","AU"
"3003",NA
"3004","IN"
"3005","IN"
"3006","AU"
"3007","CN"
"3008","US"
"3009","CN"
"3010","CN"
"3011","NZ"
"3012",NA
"3013","AU"
"3014",NA
"3015","AU"
"3016",NA
"3017",NA
"3018",NA
"3019",NA
"3020",NA
"3021","BR"
"3022","US"
"3023","US"
"3024","BR"
"3025","BR"
"3026","BR"
"3027","US"
"3028",NA
"3029",NA
"3030",NA
"3031",NA
"3032",NA
"3033",NA
"3034","US"
"3035","CA"
"3036","US"
"3037","CA"
"3038","NZ"
"3039","CA"
"3040","GB"
"3041","GB"
"3042",NA
"3043",NA
"3044",NA
"3045","GB"
"3046","GB"
"3047","BE"
"3048","BE"
"3049","BR"
"3050","US"
"3051",NA
"3052","BR"
"3053",NA
"3054","BR"
"3055","BR"
"3056","BR"
"3057","BR"
"3058","AU"
"3059",NA
"3060","AU"
"3061",NA
"3062",NA
"3063",NA
"3064",NA
"3065",NA
"3066","FR"
"3067",NA
"3068",NA
"3069",NA
"3070",NA
"3071","BR"
"3072",NA
"3073","FR"
"3074",NA
"3075",NA
"3076","BR"
"3077","BR"
"3078","TZ"
"3079","NO"
"3080","NO"
"3081",NA
"3082","AU"
"3083",NA
"3084",NA
"3085",NA
"3086",NA
"3087",NA
"3088",NA
"3089",NA
"3090","BR"
"3091","AT"
"3092","AT"
"3093","AT"
"3094","NZ"
"3095",NA
"3096","NZ"
"3097","US"
"3098","US"
"3099","US"
"3100","MX"
"3101","MX"
"3102","CA"
"3103","BR"
"3104","BR"
"3105","BR"
"3106","ID"
"3107","JP"
"3108","JP"
"3109","ID"
"3110","MX"
"3111","MX"
"3112","MX"
"3113","NZ"
"3114","NZ"
"3115","NZ"
"3116","US"
"3117","US"
"3118",NA
"3119",NA
"3120",NA
"3121",NA
"3122","GB"
"3123","GB"
"3124","KE"
"3125","GB"
"3126","NZ"
"3127","NZ"
"3128","NZ"
"3129","NZ"
"3130",NA
"3131","AR"
"3132","AR"
"3133","AR"
"3134","MX"
"3135","MX"
"3136","US"
"3137","FR"
"3138","DE"
"3139","DE"
"3140","DE"
"3141","DE"
"3142",NA
"3143",NA
"3144","DE"
"3145",NA
"3146",NA
"3147","US"
"3148",NA
"3149","NG"
"3150","AO"
"3151","CI"
"3152","CD"
"3153","GB"
"3154","GB"
"3155","KE"
"3156","ID"
"3157","KE"
"3158","US"
"3159",NA
"3160",NA
"3161",NA
"3162",NA
"3163",NA
"3164",NA
"3165",NA
"3166",NA
"3167",NA
"3168",NA
"3169",NA
"3170",NA
"3171","IN"
"3172",NA
"3173","IN"
"3174","CN"
"3175","CN"
"3176","CN"
"3177","CN"
"3178","ZA"
"3179","DE"
"3180","DE"
"3181","AU"
"3182","AU"
"3183","US"
"3184","US"
"3185",NA
"3186",NA
"3187",NA
"3188","CA"
"3189","AU"
"3190","DE"
"3191","NL"
"3192",NA
"3193","DE"
"3194","DK"
"3195","CH"
"3196","DK"
"3197","CH"
"3198","CH"
"3199","SE"
"3200","CH"
"3201","FI"
"3202","FR"
"3203","FI"
"3204","FR"
"3205","NL"
"3206","DE"
"3207","NO"
"3208","NZ"
"3209","IE"
"3210","DE"
"3211",NA
"3212","IE"
"3213",NA
"3214","DE"
"3215","DE"
"3216","PL"
"3217",NA
"3218",NA
"3219",NA
"3220","UA"
"3221",NA
"3222","NL"
"3223",NA
"3224",NA
"3225",NA
"3226","DE"
"3227",NA
"3228",NA
"3229",NA
"3230",NA
"3231","DE"
"3232",NA
"3233","PL"
"3234","DE"
"3235","IE"
"3236","IL"
"3237","IT"
"3238","IT"
"3239","CY"
"3240","CY"
"3241","CY"
"3242","IT"
"3243","IT"
"3244","IT"
"3245","IT"
"3246","ES"
"3247","ES"
"3248","ES"
"3249","GR"
"3250","GR"
"3251","GR"
"3252",NA
"3253",NA
"3254","EG"
"3255","EG"
"3256","NL"
"3257","GB"
"3258","IT"
"3259","FR"
"3260","ES"
"3261","IT"
"3262","ES"
"3263","ES"
"3264","US"
"3265","IT"
"3266",NA
"3267","US"
"3268","ES"
"3269","ES"
"3270","DE"
"3271","DE"
"3272","DE"
"3273","DE"
"3274","ES"
"3275",NA
"3276",NA
"3277","LT"
"3278","ES"
"3279","ES"
"3280","ES"
"3281","ES"
"3282","LT"
"3283","ES"
"3284","ES"
"3285","US"
"3286",NA
"3287","ES"
"3288",NA
"3289",NA
"3290","NL"
"3291","US"
"3292",NA
"3293","ES"
"3294",NA
"3295",NA
"3296","CH"
"3297","NL"
"3298","CH"
"3299","LT"
"3300","CL"
"3301","CA"
"3302","CA"
"3303","CL"
"3304",NA
"3305","GB"
"3306","DE"
"3307","DE"
"3308","DE"
"3309","ES"
"3310","ES"
"3311","ES"
"3312","ES"
"3313","ES"
"3314","ES"
"3315","ES"
"3316","NO"
"3317","ES"
"3318","ES"
"3319","ES"
"3320","ES"
"3321","ES"
"3322","ES"
"3323","FI"
"3324","FI"
"3325","FI"
"3326","FI"
"3327","FI"
"3328","TR"
"3329","TR"
"3330","TR"
"3331","TR"
"3332",NA
"3333","TR"
"3334","TR"
"3335","TR"
"3336","RS"
"3337","RS"
"3338","RS"
"3339","RS"
"3340","RS"
"3341","RS"
"3342","RS"
"3343","RS"
"3344","IL"
"3345","DK"
"3346","DK"
"3347","DK"
"3348",NA
"3349",NA
"3350","IT"
"3351","MK"
"3352","BG"
"3353","XK"
"3354","XK"
"3355","RU"
"3356","IT"
"3357","US"
"3358","BG"
"3359","BG"
"3360","IT"
"3361","IT"
"3362","AT"
"3363","AT"
"3364","IT"
"3365","IT"
"3366","IT"
"3367","AT"
"3368","IT"
"3369","DE"
"3370","FI"
"3371","DE"
"3372","FI"
"3373","GB"
"3374","GB"
"3375","GB"
"3376","ES"
"3377","GR"
"3378","BG"
"3379","RU"
"3380","RU"
"3381","DK"
"3382","LT"
"3383","PT"
"3384","GR"
"3385","SA"
"3386","IT"
"3387","ES"
"3388","ES"
"3389","IT"
"3390","NL"
"3391","US"
"3392","US"
"3393","US"
"3394","BE"
"3395","BE"
"3396",NA
"3397",NA
"3398","RU"
"3399","DE"
"3400","DE"
"3401","DE"
"3402","HU"
"3403","HU"
"3404","HU"
"3405",NA
"3406","HU"
"3407","HU"
"3408","DE"
"3409","DE"
"3410","DE"
"3411","TR"
"3412","TR"
"3413","TR"
"3414","GB"
"3415","GB"
"3416","GB"
"3417","IS"
"3418","IS"
"3419","IS"
"3420","GB"
"3421","GB"
"3422","GB"
"3423","GB"
"3424","GB"
"3425","NO"
"3426","EG"
"3427","EG"
"3428","TW"
"3429","TW"
"3430","TW"
"3431","TW"
"3432","TW"
"3433","TW"
"3434","US"
"3435","TJ"
"3436","US"
"3437","US"
"3438","US"
"3439","US"
"3440",NA
"3441",NA
"3442",NA
"3443",NA
"3444",NA
"3445",NA
"3446",NA
"3447",NA
"3448",NA
"3449",NA
"3450",NA
"3451",NA
"3452",NA
"3453",NA
"3454",NA
"3455",NA
"3456",NA
"3457","PT"
"3458","PT"
"3459","US"
"3460","PT"
"3461","PT"
"3462","US"
"3463","PT"
"3464","ES"
"3465",NA
"3466","ES"
"3467","ES"
"3468","FR"
"3469","FR"
"3470","FR"
"3471","FR"
"3472","FR"
"3473","FR"
"3474","FR"
"3475","FR"
"3476","DE"
"3477","BR"
"3478","BR"
"3479","DE"
"3480","IT"
"3481",NA
"3482",NA
"3483",NA
"3484",NA
"3485",NA
"3486","BG"
"3487","BG"
"3488","BG"
"3489","BG"
"3490",NA
"3491",NA
"3492",NA
"3493",NA
"3494","JP"
"3495",NA
"3496","TR"
"3497","TR"
"3498","TR"
"3499","TR"
"3500","SE"
"3501","SE"
"3502","SE"
"3503","RU"
"3504",NA
"3505","SE"
"3506","US"
"3507","CH"
"3508","CH"
"3509","CH"
"3510",NA
"3511",NA
"3512",NA
"3513",NA
"3514",NA
"3515",NA
"3516",NA
"3517",NA
"3518",NA
"3519",NA
"3520",NA
"3521",NA
"3522","US"
"3523","DE"
"3524","DE"
"3525","FR"
"3526","DE"
"3527","CH"
"3528","FR"
"3529","DE"
"3530","DE"
"3531","US"
"3532","US"
"3533","DE"
"3534","CA"
"3535","GB"
"3536","GB"
"3537","DE"
"3538","US"
"3539","GB"
"3540","GB"
"3541","CA"
"3542","US"
"3543","GB"
"3544","GB"
"3545","GB"
"3546",NA
"3547","IL"
"3548","IT"
"3549","IT"
"3550","LT"
"3551","LT"
"3552","EE"
"3553","LT"
"3554","AU"
"3555","US"
"3556",NA
"3557","AU"
"3558","GB"
"3559","CA"
"3560","AU"
"3561",NA
"3562","ID"
"3563","BE"
"3564","AU"
"3565","CA"
"3566","CA"
"3567","CA"
"3568","DE"
"3569","KE"
"3570","KE"
"3571","CH"
"3572","KE"
"3573","NZ"
"3574","GB"
"3575","GB"
"3576","GB"
"3577","GB"
"3578","GB"
"3579","GB"
"3580","GB"
"3581","GB"
"3582",NA
"3583",NA
"3584",NA
"3585",NA
"3586",NA
"3587","GB"
"3588","GB"
"3589","US"
"3590","US"
"3591","US"
"3592","US"
"3593","US"
"3594","US"
"3595","GB"
"3596","DE"
"3597","GB"
"3598","US"
"3599","FR"
"3600","US"
"3601","AU"
"3602","US"
"3603","AU"
"3604","AU"
"3605","IT"
"3606","US"
"3607","CA"
"3608","US"
"3609",NA
"3610","US"
"3611","US"
"3612","US"
"3613","US"
"3614","US"
"3615","ES"
"3616","US"
"3617","US"
"3618","US"
"3619","GB"
"3620","US"
"3621",NA
"3622","MX"
"3623","GB"
"3624","MX"
"3625","MX"
"3626","PA"
"3627","US"
"3628","US"
"3629","US"
"3630","KE"
"3631","DE"
"3632","KE"
"3633","KE"
"3634","KE"
"3635","AM"
"3636","AM"
"3637","AM"
"3638","US"
"3639","DK"
"3640","LA"
"3641","DK"
"3642","CH"
"3643","CH"
"3644","CH"
"3645",NA
"3646",NA
"3647",NA
"3648",NA
"3649",NA
"3650",NA
"3651",NA
"3652",NA
"3653",NA
"3654","ZA"
"3655","ZA"
"3656","ZA"
"3657","ZA"
"3658","ZA"
"3659","AU"
"3660","AU"
"3661","AU"
"3662","AU"
"3663","AU"
"3664","AU"
"3665","AU"
"3666","MX"
"3667","MX"
"3668","MX"
"3669","MX"
"3670","MX"
"3671","MX"
"3672",NA
"3673",NA
"3674",NA
"3675","BE"
"3676","BE"
"3677","KE"
"3678","KE"
"3679","KE"
"3680","BE"
"3681",NA
"3682","BE"
"3683","MX"
"3684","MX"
"3685","GB"
"3686","GB"
"3687","GB"
"3688","GB"
"3689","GB"
"3690","ID"
"3691","DK"
"3692","DK"
"3693","US"
"3694","US"
"3695","MX"
"3696",NA
"3697","AU"
"3698","BD"
"3699","BE"
"3700","ET"
"3701","BE"
"3702","BE"
"3703","US"
"3704","NL"
"3705","NL"
"3706","GB"
"3707","US"
"3708","US"
"3709","MX"
"3710","US"
"3711","US"
"3712","US"
"3713","US"
"3714","AT"
"3715","RS"
"3716","BG"
"3717","AT"
"3718",NA
"3719","AT"
"3720","CH"
"3721","CH"
"3722","UZ"
"3723","UZ"
"3724","TH"
"3725","TH"
"3726","JP"
"3727","US"
"3728","GB"
"3729","GB"
"3730","GB"
"3731","GB"
"3732","GB"
"3733","IT"
"3734","IT"
"3735",NA
"3736","FI"
"3737","GB"
"3738","JP"
"3739","CH"
"3740","TH"
"3741","CO"
"3742","US"
"3743","US"
"3744","FI"
"3745","US"
"3746","US"
"3747","ES"
"3748","ES"
"3749","ES"
"3750","ES"
"3751","ES"
"3752","ES"
"3753","ES"
"3754","DK"
"3755","RO"
"3756","DK"
"3757","GB"
"3758","DE"
"3759","GB"
"3760","ES"
"3761","ES"
"3762","DK"
"3763","BE"
"3764","NL"
"3765","FR"
"3766","NL"
"3767","IL"
"3768","IL"
"3769","IL"
"3770","US"
"3771","IL"
"3772","GB"
